CodiDistricte,CodiBarri,NomBarri,Poblacio,Superficie,Densitat,DensitatNeta
1,1,el Raval,47129,110,429,948
1,2,el Barri Gotic,15614,84,185,457
1,3,la Barceloneta,15021,131,114,1113
1,4,Sant Pere  Santa Caterina i la Ribera,22306,111,200,689
2,5,el Fort Pienc,31653,93,341,948
2,6,la Sagrada Familia,51322,105,488,1002
2,7,la Dreta de Eixample,43644,212,206,383
2,8,Antiga Esquerra de Eixample,41854,123,339,625
2,9,la Nova Esquerra de Eixample,57648,134,431,883
2,10,Sant Antoni,38184,80,477,924
3,11,el Poble Sec AEI Parc Montjuic,40055,460,87,1039
3,12,la Marina del Prat Vermell AEI Zona Franca,1143,1428,1,32
3,13,la Marina de Port,30385,125,242,774
3,14,la Font de la Guatlla,10302,30,341,903
3,15,Hostafrancs,15889,41,387,710
3,16,la Bordeta,18512,58,321,897
3,17,Sants Badal,23906,41,582,951
3,18,Sants,40785,110,372,734
4,19,les Corts,45932,141,325,704
4,20,la Maternitat i Sant Ramon,23848,190,125,731
4,21,Pedralbes,11862,270,44,144
5,22,Vallvidrera el Tibidabo i les Planes,4632,1152,4,52
5,23,Sarria,24799,304,82,258
5,24,les Tres Torres,16473,79,209,387
5,25,Sant Gervasi la Bonanova,25665,224,115,313
5,26,Sant Gervasi Galvany,47089,166,284,493
5,27,el Putxet i el Farro,29368,85,347,552
6,28,Vallcarca i els Penitents,15591,121,129,333
6,29,el Coll,7391,36,207,596
6,30,la Salut,13118,64,204,684
6,31,la Vila de Gracia,50584,133,381,606
6,32,el Camp de en Grassot i Gracia Nova,34234,65,527,888
7,33,el Baix Guinardo,25547,56,456,1077
7,34,Can Baro,8965,38,234,625
7,35,el Guinardo,36136,131,276,693
7,36,la Font de en Fargues,9400,66,143,238
7,37,el Carmel,31355,94,333,795
7,38,la Teixonera,11277,34,335,599
7,39,Sant Genis dels Agudells,6725,172,39,372
7,40,Montbau,5053,205,25,441
7,41,la Vall de Hebron,5686,74,77,732
7,42,la Clota,583,18,33,95
7,43,Horta,26541,308,86,419
8,44,Vilapicina i la Torre Llobeta,25508,57,450,880
8,45,Porta,24519,84,292,697
8,46,el Turo de la Peira,15364,35,434,1144
8,47,Can Peguera,2258,12,189,373
8,48,la Guineueta,15043,61,246,674
8,49,Canyelles,6923,79,87,622
8,50,les Roquetes,15398,64,240,846
8,51,Verdun,12260,24,516,859
8,52,la Prosperitat,26167,59,440,957
8,53,la Trinitat Nova,7257,56,130,577
8,54,Torre Baro,2791,177,16,132
8,55,Ciutat Meridiana,10041,36,283,663
8,56,Vallbona,1352,60,23,199
9,57,la Trinitat Vella,10032,81,124,790
9,58,Baro de Viver,2507,23,109,641
9,59,el Bon Pastor,12589,188,67,704
9,60,Sant Andreu,56683,184,308,738
9,61,la Sagrera,28796,97,296,728
9,62,el Congres i els Indians,14044,41,345,730
9,63,Navas,22080,42,522,981
10,64,el Camp de Arpa del Clot,38104,74,514,887
10,65,el Clot,26898,70,386,1139
10,66,el Parc i la Llacuna del Poblenou,14838,111,133,745
10,67,la Vila Olimpica del Poblenou,9335,94,99,386
10,68,el Poblenou,33586,154,217,789
10,69,Diagonal Mar i el Front Maritim del Poblenou,13397,124,108,582
10,70,el Besos i el Maresme,22746,127,178,888
10,71,Provencals del Poblenou,20369,110,184,1511
10,72,Sant Marti de Provencals,26010,75,349,1149
10,73,la Verneda i la Pau,28645,112,255,714
