"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S007072",NA,"Dj",2014,10,"Octubre",2,16,0,1,0,1,1,NA,NA
"2014S000436",NA,"Dl",2014,1,"Gener",20,9,0,0,0,0,1,NA,NA
"2014S003380","10","Dj",2014,5,"Maig",8,13,0,1,0,1,2,432111,4585072
"2014S002456","10","Dj",2014,4,"Abril",3,10,0,1,0,1,1,431800,4585510
"2014S006504","10","Dc",2014,9,"Setembre",10,14,0,2,0,2,2,431690,4585511
"2014S003469","10","Dl",2014,5,"Maig",12,8,0,1,0,1,2,431643,4585164
"2014S003302","10","Dl",2014,5,"Maig",5,17,0,1,0,1,2,431615,4585336
"2014S008870","10","Dm",2014,12,"Desembre",2,16,0,1,0,1,2,431650,4585306
"2014S000362","10","Dj",2014,1,"Gener",16,19,0,1,0,1,1,431676,4585332
"2014S002612","10","Dm",2014,4,"Abril",8,15,0,1,0,1,2,431213,4585045
"2014S000217","10","Ds",2014,1,"Gener",11,0,1,0,0,1,1,431255,4585086
"2014S003907","10","Dm",2014,5,"Maig",27,17,0,1,0,1,2,431449,4584772
"2014S003054","10","Dv",2014,4,"Abril",25,22,0,1,0,1,2,431491,4584800
"2014S008180","10","Dv",2014,11,"Novembre",7,15,0,3,0,3,3,431521,4584865
"2014S003278","10","Dl",2014,5,"Maig",5,6,0,1,0,1,2,431816,4584545
"2014S007683","10","Dj",2014,10,"Octubre",23,8,0,1,0,1,2,431940,4584488
"2014S005361","10","Ds",2014,7,"Juliol",19,14,0,1,0,1,4,431675,4584590
"2014S005100","10","Dj",2014,7,"Juliol",10,0,0,1,1,2,2,431797,4584713
"2014S003154","10","Dm",2014,4,"Abril",29,16,0,1,0,1,2,432098,4584629
"2014S003248","10","Dv",2014,5,"Maig",2,22,0,1,0,1,3,432328,4585042
"2014S004270","10","Dm",2014,6,"Juny",10,19,0,1,0,1,2,432171,4585230
