"CodiDistricte","Superficie","Habitants","Densitat","Accidents","Vianants","Lleus","Greus","VianSup","Vian10k","NoInfr"
"1",4.36,100070,22951.8348623853,531,112,103,8,25.6880733944954,11.1921654841611,52
"2",7.47,264305,35382.1954484605,3118,359,342,15,48.0589022757697,13.582792607026,201
"3",22.93,180977,7892.58613170519,1106,155,143,9,6.75970344526821,8.56462423401869,96
"4",6.01,81642,13584.3594009983,739,80,70,7,13.3111480865225,9.79887802846574,51
"5",20.1,148026,7364.4776119403,1062,107,100,4,5.32338308457711,7.22845986515882,66
"6",4.19,120918,28858.7112171838,501,59,56,2,14.0811455847255,4.8793397178253,36
"7",11.96,167268,13985.618729097,727,84,80,3,7.02341137123746,5.0218810531602,49
"8",8.04,164881,20507.5870646766,515,101,92,7,12.5621890547264,6.12562999981805,62
"9",6.56,146731,22367.5304878049,560,62,59,3,9.45121951219512,4.22541930471407,39
"10",10.51,233928,22257.6593720266,1260,145,139,6,13.7963843958135,6.19848842378852,87
