"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","DescripcioCausaVianant","TipusVehicleImplicat","DescripcioSexe","DescripcioTipusPersona","Edat","DescripcioVictimitzacio","CoordenadaUTM_Y","CoordenadaUTM_X"
"2014S002885","10","Dj",2014,4,"Abril",17,4,"TrnPeuCalcada","Furgoneta","Dona","Vianant",77,"Lleu",4585256,431652
"2014S004307","2","Dc",2014,6,"Juny",11,9,"No","Turisme","Dona","Vianant",41,"Lleu",4583538,431555
"2014S003797","10","Dv",2014,5,"Maig",23,5,"CreuaForaPas","Turisme","Home","Vianant",37,"Lleu",4585167,431338
"2014S003133","2","Dl",2014,4,"Abril",28,7,"No","Turisme","Dona","Vianant",16,"Lleu",4582183,429632
"2014S004521","2","Dj",2014,6,"Juny",19,12,"Altres","Taxi","Home","Vianant",60,"Lleu",4583221,429606
"2014S004185","1","Dv",2014,6,"Juny",6,5,"CreuaForaPas","Motocicleta","Dona","Vianant",84,"Lleu",4581525,432255
"2014S003539","2","Dc",2014,5,"Maig",14,1,"CreuaForaPas","Motocicleta","Dona","Vianant",24,"Lleu",4582957,431035
"2014S004729","2","Dv",2014,6,"Juny",27,12,"DsbSemafor","Taxi","Dona","Vianant",18,"Lleu",4582391,430639
"2014S004738","2","Dv",2014,6,"Juny",27,3,"No","Turisme","Home","Vianant",60,"Lleu",4582736,429206
"2014S005328","6","Dv",2014,7,"Juliol",18,11,"No","Turisme","Home","Vianant",45,"Lleu",4584559,428908
"2014S003140","2","Dm",2014,4,"Abril",29,10,"No","Turisme","Home","Vianant",59,"Lleu",4583398,430704
"2014S003150","9","Dm",2014,4,"Abril",29,1,"No","Turisme","Dona","Vianant",66,"Lleu",4587017,432158
"2014S002960","4","Dc",2014,4,"Abril",23,8,"No","Turisme","Dona","Vianant",43,"Lleu",4582958,426112
"2014S003808","7","Dv",2014,5,"Maig",23,8,"No","Turisme","Home","Vianant",80,"Lleu",4586609,429289
"2014S003819","2","Ds",2014,5,"Maig",24,9,"No","Bicicleta","Home","Vianant",73,"Lleu",4580950,429960
"2014S002716","5","Dj",2014,4,"Abril",10,11,"No","Turisme","Dona","Vianant",29,"Lleu",4583219,429433
"2014S009553","9","Dj",2014,12,"Desembre",25,8,"No","Turisme","Home","Vianant",69,"Lleu",4588207,432487
"2014S002468","2","Dj",2014,4,"Abril",3,6,"Altres","Autocar","Home","Vianant",32,"Lleu",4583284,430145
"2014S002915","2","Dg",2014,4,"Abril",20,12,"No","Turisme","Dona","Vianant",36,"Lleu",4582547,430616
"2014S008918","4","Dj",2014,12,"Desembre",4,10,"No","Furgoneta","Dona","Vianant",33,"Lleu",4582027,427836
"2014S005112","7","Dj",2014,7,"Juliol",10,1,"No","Motocicleta","Dona","Vianant",78,"Lleu",4585543,431123
"2014S004566","7","Dv",2014,6,"Juny",20,8,"No","Turisme","Dona","Vianant",11,"Lleu",4584552,430565
"2014S003979","5","Dv",2014,5,"Maig",30,11,"No","Taxi","Dona","Vianant",42,"Greu",4583104,428057
"2014S003284","5","Dl",2014,5,"Maig",5,8,"No","Turisme","Dona","Vianant",52,"Lleu",4583026,428357
"2014S004595","2","Dv",2014,6,"Juny",20,10,"No","Taxi","Dona","Vianant",22,"Lleu",4582230,430399
"2014S004964","3","Ds",2014,7,"Juliol",5,10,"CreuaForaPas","Motocicleta","Dona","Vianant",32,"Lleu",4580895,430712
"2014S003876","2","Dl",2014,5,"Maig",26,3,"DsbSemafor","Motocicleta","Dona","Vianant",57,"Lleu",4583570,430690
"2014S005575","10","Dl",2014,7,"Juliol",28,9,"No","Turisme","Home","Vianant",27,"Lleu",4582477,432538
"2014S005583","4","Dl",2014,7,"Juliol",28,7,"No","Bicicleta","Home","Vianant",43,"Lleu",4581832,427205
"2014S003119","1","Dl",2014,4,"Abril",28,3,"Altres","Furgoneta","Dona","Vianant",3,"Lleu",4581056,430601
"2014S003121","1","Dl",2014,4,"Abril",28,3,"No","Ciclomotor","Home","Vianant",82,"Lleu",4581187,432381
"2014S004686","4","Dc",2014,6,"Juny",18,6,"No","Turisme","Home","Vianant",3,"Lleu",4581078,426291
"2014S004820","5","Dm",2014,7,"Juliol",1,10,"CreuaForaPas","Furgoneta","Home","Vianant",33,"Lleu",4583386,429110
"2014S005285","7","Dc",2014,7,"Juliol",16,4,"No","CamioLess35Tm","Dona","Vianant",84,"Lleu",4585854,431615
"2014S008969","7","Dv",2014,12,"Desembre",5,3,"No","Motocicleta","Home","Vianant",10,"Lleu",4586355,429486
"2014S007026","8","Dc",2014,10,"Octubre",1,10,"No","Turisme","Home","Vianant",71,"Lleu",4587541,431010
"2014S006919","2","Dv",2014,9,"Setembre",26,8,"No","Turisme","Dona","Vianant",29,"Lleu",4582539,430958
"2014S009434","8","Dg",2014,12,"Desembre",21,1,"Altres","Turisme","Home","Vianant",3,"Lleu",4589192,432033
"2014S009211","8","Dl",2014,12,"Desembre",15,9,"Altres","Furgoneta","Dona","Vianant",49,"Lleu",4587842,431196
"2014S009643","4","Dl",2014,12,"Desembre",29,2,"No","Turisme","Home","Vianant",15,"Lleu",4582811,426407
"2014S009596","10","Dg",2014,12,"Desembre",28,2,"CreuaForaPas","Turisme","Home","Vianant",24,"Lleu",4585041,431583
"2014S009471","10","Dl",2014,12,"Desembre",22,3,"CreuaForaPas","Motocicleta","Home","Vianant",50,"Mort",4585393,431600
"2014S008310","3","Dc",2014,11,"Novembre",12,3,"No","Furgoneta","Dona","Vianant",85,"Lleu",4579317,428267
"2014S006771","3","Dg",2014,9,"Setembre",21,7,"Altres","Motocicleta","Dona","Vianant",30,"Lleu",4580861,428820
"2014S008369","2","Dv",2014,11,"Novembre",14,2,"DsbSemafor","Motocicleta","Dona","Vianant",58,"Lleu",4582391,430639
"2014S003822","2","Ds",2014,5,"Maig",24,2,"CreuaForaPas","Motocicleta","Home","Vianant",7,"Lleu",4580985,429044
"2014S005223","10","Dl",2014,7,"Juliol",14,9,"No","Motocicleta","Home","Vianant",9,"Lleu",4583086,432346
"2014S008746","2","Dj",2014,11,"Novembre",27,6,"Altres","Turisme","Dona","Vianant",64,"Lleu",4582318,430532
